district,year,iso_week,dengue_cases_reported,dengue_deaths_weekly,temperature_mean_week,humidity_mean_week,rainfall_total_week,temperature_max_week,humidity_max_week,population_2011,cases_per_100k,cases_lag1,cases_lag2,cases_lag3,cases_roll2_mean,cases_roll4_mean,temperature_mean_week_lag1,temperature_mean_week_lag2,humidity_mean_week_lag1,humidity_mean_week_lag2,rainfall_total_week_lag1,rainfall_total_week_lag2,week_sin,week_cos,target_cases_plus1,target_cases_plus2,district_case_q75,target_outbreak_plus1,target_outbreak_plus2,is_unreliable_2017_peak_week,exclude_target_plus1,exclude_target_plus2,exclude_training_row,worldpop_total,worldpop_density_per_km2,ndvi_mean
Kalaburagi,2022,52,9.0,0.0,24.98033677432502,16.396169238301972,0.3731087725204051,25.56798560123775,18.998509409964925,2566326,0.3506958975593903,0.0,0.0,0.0,0.0,2.25,22.29380811686901,23.57819892103102,13.010856001144036,17.878884947519072,0.0097824087384979,10.040630827088124,-2.4492935982947064e-16,1.0,12.0,0.0,6.0,1,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4253843274101695
Kalaburagi,2023,1,12.0,0.0,23.190001419992672,13.829907061965002,0.5317737373077991,24.625081431688784,16.607236098237422,2566326,0.4675945300791871,9.0,0.0,0.0,4.5,2.25,24.98033677432502,22.29380811686901,16.396169238301972,13.010856001144036,0.3731087725204051,0.0097824087384979,0.120536680255323,0.992708874098054,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4253843274101695
Kalaburagi,2023,2,0.0,0.0,21.85624788308496,9.577707251169889,0.0047352280034827,22.7062583737058,11.56624649842928,2566326,0.0,12.0,9.0,0.0,10.5,5.25,23.190001419992672,24.98033677432502,13.829907061965002,16.396169238301972,0.5317737373077991,0.3731087725204051,0.2393156642875577,0.970941817426052,0.0,2.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4006226781451564
Kalaburagi,2023,3,0.0,0.0,22.47620598324346,11.121391255269527,0.0064729778065044,22.653051838928207,12.595853433020809,2566326,0.0,0.0,12.0,9.0,6.0,5.25,21.85624788308496,23.190001419992672,9.577707251169889,13.829907061965002,0.0047352280034827,0.5317737373077991,0.3546048870425356,0.9350162426854148,2.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4006226781451564
Kalaburagi,2023,4,2.0,0.0,23.08370353614105,11.71114604181709,0.0062890810223603,23.491942096944857,15.106188341477491,2566326,0.0779324216798645,0.0,0.0,12.0,0.0,5.25,22.47620598324346,21.85624788308496,11.121391255269527,9.577707251169889,0.0064729778065044,0.0047352280034827,0.4647231720437685,0.8854560256532099,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.4006226781451564
Kalaburagi,2023,5,0.0,0.0,23.986522941845312,11.852735380631245,0.0824724982547748,24.418183002408,16.09644807638,2566326,0.0,2.0,0.0,0.0,1.0,3.5,23.08370353614105,22.47620598324346,11.71114604181709,11.121391255269527,0.0062890810223603,0.0064729778065044,0.5680647467311558,0.8229838658936564,0.0,4.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3774803034109948
Kalaburagi,2023,6,0.0,0.0,25.372491563074416,11.612649971121552,0.0055606623909908,25.98238648809894,13.916261278081208,2566326,0.0,0.0,2.0,0.0,1.0,0.5,23.986522941845312,23.08370353614105,11.852735380631245,11.71114604181709,0.0824724982547748,0.0062890810223603,0.6631226582407952,0.7485107481711011,4.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3774803034109948
Kalaburagi,2023,7,4.0,0.0,24.94101523081264,7.103970203452572,0.00775272849296,25.41006379029039,11.973483261587376,2566326,0.155864843359729,0.0,0.0,2.0,0.0,0.5,25.372491563074416,23.986522941845312,11.612649971121552,11.852735380631245,0.0055606623909908,0.0824724982547748,0.7485107481711011,0.6631226582407953,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3523255536341268
Kalaburagi,2023,8,0.0,0.0,26.13520013950989,9.801033215260905,0.0107188589595351,26.36274222497701,11.948177694604285,2566326,0.0,4.0,0.0,0.0,2.0,1.5,24.94101523081264,25.372491563074416,7.103970203452572,11.612649971121552,0.00775272849296,0.0055606623909908,0.8229838658936564,0.5680647467311558,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3523255536341268
Kalaburagi,2023,9,0.0,0.0,26.319446626363646,8.67003116080655,0.0060328983408908,26.929754549122663,9.612554846360696,2566326,0.0,0.0,4.0,0.0,2.0,1.0,26.13520013950989,24.94101523081264,9.801033215260905,7.103970203452572,0.0107188589595351,0.00775272849296,0.8854560256532098,0.4647231720437686,0.0,0.0,6.0,0,0,False,False,False,False,3693906.943466556,226.89825728021688,0.3387621335427784
